Year,Name,Female,Male
1881,Julian,0,36
1881,Tony,0,36
1881,Bruce,0,34
1881,Van,0,32
1881,Glen,0,31
1881,Vincent,0,30
1881,Wayne,0,30
1881,Elisha,0,29
1881,Kenneth,0,29
1881,Roger,0,29
1881,Madison,0,28
1881,Donald,0,27
1881,Antonio,0,26
1881,Don,0,26
1881,Spencer,0,26
1881,Avery,0,25
1881,Dallas,0,25
1881,Evan,0,24
1881,Israel,0,23
1881,Morgan,0,23
1881,Carroll,0,22
1881,Elliott,0,22
1881,Jason,0,22
1881,Loren,0,22
1881,Jonathan,0,21
1881,Lynn,0,21
1881,Emerson,0,20
1881,Mitchell,0,20
1881,Pat,0,20
1881,Royal,0,20
1881,Carlos,0,19
1881,Jordan,0,18
1881,Addison,0,17
1881,Dean,0,17
1881,Gabriel,0,17
1881,Micheal,0,17
1881,Douglas,0,16
1881,Jules,0,16
1881,Aubrey,0,15
1881,Sol,0,15
1881,Steven,0,15
1881,Bennett,0,14
1881,Gerald,0,14
1881,Sandy,0,14
1881,Johnny,0,13
1881,Logan,0,13
1881,Mason,0,13
1881,Merritt,0,13
1881,Noel,0,13
1881,Valentine,0,13
1881,Adrian,0,12
1881,Carter,0,12
1881,Cary,0,12
1881,Gene,0,12
1881,Luis,0,12
1881,Parker,0,12
1881,Beverly,0,11
1881,Raleigh,0,11
1881,Shelby,0,11
1881,Bradley,0,10
1881,Finley,0,10
1881,Lacy,0,10
1881,Larkin,0,10
1881,Paris,0,10
1881,Allison,0,9
1881,Clair,0,9
1881,Dana,0,9
1881,Eric,0,9
1881,Freddie,0,9
1881,Harper,0,9
1881,Jule,0,9
1881,Randall,0,9
1881,Reece,0,9
1881,Bailey,0,8
1881,Billie,0,8
1881,Carey,0,8
1881,Collins,0,8
1881,Drew,0,8
1881,Jesus,0,8
1881,Kelly,0,8
1881,Larry,0,8
1881,Lindsay,0,8
1881,Palmer,0,8
1881,Reese,0,8
1881,Sterling,0,8
1881,Todd,0,8
1881,Tommy,0,8
1881,Unknown,0,8
1881,Justin,0,7
1881,Lindsey,0,7
1881,Merrill,0,7
1881,Presley,0,7
1881,Quincy,0,7
1881,Shirley,0,7
1881,Ashley,0,6
1881,Ashton,0,6
1881,Augustine,0,6
1881,Billy,0,6
1881,Blaine,0,6
1881,Carson,0,6
1881,Dale,0,6
1881,Gary,0,6
1881,Gregory,0,6
1881,Hunter,0,6
1881,Ivey,0,6
1881,Lorenza,0,6
1881,Murphy,0,6
1881,Otha,0,6
1881,Rodney,0,6
1881,Sydney,0,6
1881,Troy,0,6
1881,Adrien,0,5
1881,Arden,0,5
1881,Blair,0,5
1881,Campbell,0,5
1881,Craig,0,5
1881,Darrell,0,5
1881,Ellison,0,5
1881,Garnett,0,5
1881,Golden,0,5
1881,Hollis,0,5
1881,Hudson,0,5
1881,Jere,0,5
1881,Kirby,0,5
1881,Kyle,0,5
1881,Lane,0,5
1881,Page,0,5
1881,Rene,0,5
1881,Robin,0,5
1881,Shannon,0,5
1881,Waverly,0,5
1882,Mary,8148,30
1882,Anna,3143,0
1882,Emma,2303,7
1882,Elizabeth,2186,7
1882,Margaret,1821,7
1882,Alice,1542,0
1882,Annie,1492,8
1882,Clara,1490,0
1882,Sarah,1410,0
1882,Florence,1322,8
1882,Martha,1229,10
1882,Grace,1195,6
1882,Laura,1151,5
1882,Carrie,1037,6
1882,Ethel,989,0
1882,Rose,886,0
1882,Helen,838,0
1882,Lillian,830,6
1882,Pearl,824,58
1882,Louise,813,7
1882,Julia,811,5
1882,Jessie,806,192
1882,Edna,783,9
1882,Eva,765,0
1882,Catherine,726,0
1882,Frances,681,12
1882,Katherine,591,0
1882,Marie,591,0
1882,Rosa,542,0
1882,Nancy,439,0
1882,Alma,368,10
1882,Susan,326,0
1882,Ruth,323,0
1882,Willie,291,541
1882,Amanda,288,0
1882,Virginia,274,0
1882,Emily,272,0
1882,Kathryn,272,0
1882,Rebecca,259,0
1882,Jane,254,0
1882,Irene,232,0
1882,Ollie,218,78
1882,Rachel,203,0
1882,Amy,196,0
1882,Augusta,183,0
1882,Ora,181,67
1882,Sara,180,0
1882,Mildred,172,0
1882,Theresa,170,0
1882,Ann,150,0
1882,Marion,141,157
1882,Ruby,136,0
1882,Victoria,132,0
1882,Lou,131,10
1882,Barbara,130,0
1882,Evelyn,125,0
1882,Betty,123,0
1882,Maria,121,0
1882,Dorothy,115,0
1882,Allie,113,27
1882,Essie,113,7
1882,Winifred,83,5
1882,Christine,75,0
1882,Eunice,75,0
1882,Hazel,73,0
1882,Isabel,72,0
1882,Gussie,70,0
1882,Christina,64,0
1882,Lois,64,0
1882,Carolyn,62,0
1882,Hallie,62,5
1882,Jean,60,12
1882,Bernice,57,0
1882,Francis,54,327
1882,Teresa,50,0
1882,Georgie,47,0
1882,Gladys,46,0
1882,Ivy,46,9
1882,Cynthia,45,0
1882,Lee,43,427
1882,Marian,42,5
1882,Melissa,41,0
1882,John,40,9557
1882,Ellie,37,0
1882,Linda,36,0
1882,Janet,35,0
1882,Fay,34,15
1882,Artie,33,18
1882,George,32,5193
1882,Norma,32,0
1882,William,31,9298
1882,Claire,30,0
1882,Alpha,29,14
1882,Antonia,28,0
1882,Vivian,27,5
1882,Angela,24,0
1882,Cecil,24,53
1882,Johnnie,24,59
1882,Charles,23,5091
1882,Jimmie,22,20
1882,Julie,22,0
1882,June,22,12
1882,Kathleen,22,0
1882,Clare,21,8
1882,Frankie,21,0
1882,Lennie,20,6
1882,Bonnie,19,0
1882,Clyde,19,293
1882,Donna,19,0
1882,Louie,19,46
1882,Cleo,18,0
1882,Donnie,18,5
1882,James,18,5892
1882,Henry,17,2579
1882,Patsy,17,0
1882,Corrie,16,0
1882,Doris,16,0
1882,Eddie,16,169
1882,Deborah,15,0
1882,Joe,15,739
1882,Ray,15,195
1882,Samantha,15,0
1882,Harry,14,2232
1882,Vernie,14,6
1882,Alva,13,85
1882,Connie,13,7
1882,Lonnie,13,78
1882,Ocie,13,5
1882,Dee,12,23
1882,Isa,12,0
1882,Robert,12,2500
1882,Thomas,12,2610
1882,Arie,11,0
1882,Beryl,11,0
1882,Claudie,11,5
1882,Frank,11,3176
1882,Joan,11,0
1882,Merle,11,13
1882,Ara,10,0
1882,Dell,10,13
1882,Dolores,10,0
1882,Jewel,10,0
1882,Odie,10,11
1882,Theo,10,12
1882,Fred,9,1641
1882,Leslie,9,122
1882,Shirley,9,11
1882,Sidney,9,146
1882,Audie,8,0
1882,Augustine,8,8
1882,Diana,8,0
1882,Gail,8,7
1882,Ira,8,244
1882,Jessica,8,0
1882,Jodie,8,0
1882,Judith,8,0
1882,Tommie,8,8
1882,Audrey,7,0
1882,Bennie,7,33
1882,Camille,7,6
1882,Carmen,7,0
1882,Cary,7,13
1882,Gene,7,14
1882,Guadalupe,7,0
1882,Joyce,7,0
1882,Walter,7,1805
1882,Carol,6,0
1882,Charlie,6,753
1882,Dana,6,14
1882,Joseph,6,2670
1882,Louis,6,852
1882,Albert,5,1499
1882,Arthur,5,1686
1882,Clifford,5,155
1882,Courtney,5,0
1882,Denise,5,0
1882,Edward,5,2477
1882,Jesse,5,660
1882,Jewell,5,0
1882,Judy,5,0
1882,Laurie,5,0
1882,Lorenza,5,0
1882,Sammie,5,7
1882,Samuel,0,1003
1882,David,0,838
1882,Clarence,0,837
1882,Richard,0,746
1882,Andrew,0,673
1882,Ernest,0,642
1882,Oscar,0,625
1882,Daniel,0,594
1882,Sam,0,555
1882,Alfred,0,523
1882,Roy,0,521
1882,Benjamin,0,478
1882,Carl,0,478
1882,Peter,0,461
1882,Frederick,0,457
1882,Elmer,0,441
1882,Herbert,0,431
1882,Howard,0,422
1882,Ralph,0,407
1882,Paul,0,397
1882,Jacob,0,390
1882,Martin,0,387
1882,Earl,0,377
1882,Eugene,0,341
1882,Michael,0,321
1882,Edwin,0,305
1882,Lawrence,0,287
1882,Jack,0,271
1882,Charley,0,262
1882,Patrick,0,249
1882,August,0,234
1882,Floyd,0,231
1882,Leonard,0,231
1882,Raymond,0,230
1882,Alexander,0,225
1882,Allen,0,206
1882,Stephen,0,201
1882,Archie,0,195
1882,Philip,0,182
1882,Alex,0,172
1882,Leroy,0,152
1882,Leo,0,146
1882,Wesley,0,145
1882,Anthony,0,139
1882,Dennis,0,135
1882,Lester,0,134
1882,Perry,0,133
1882,Alvin,0,132
1882,Leon,0,131
1882,Harold,0,127
1882,Calvin,0,123
1882,Adam,0,114
1882,Nathan,0,113
1882,Elijah,0,111
1882,Matthew,0,109
1882,Victor,0,109
1882,Noah,0,108
1882,Norman,0,107
1882,Jerry,0,105
1882,Phillip,0,103
1882,Maurice,0,102
1882,Jose,0,95
1882,Manuel,0,92
1882,Mark,0,90
1882,Christopher,0,89
1882,Ellis,0,86
1882,Melvin,0,86
1882,Aaron,0,85
1882,Marshall,0,83
1882,Jay,0,80
1882,Virgil,0,80
1882,Monroe,0,76
1882,Stanley,0,76
1882,Harley,0,75
1882,Russell,0,73
1882,Timothy,0,71
1882,Curtis,0,70
1882,Bruce,0,66
